,listingTitle,listingPrice,listingTypeID,regionName1,regionName2,regionName3,latitude,longitude,listing_title,listing_type,description,energy_efficiency,Área Bruta Privativa m2,Área Bruta m2,Área Total do Lote m2,Área Útil m2,Quartos,Ano de construção,Piso,WCs,Elevador,Estacionamento
10,126061062-4,195000.0,11,Viseu,Vila Nova de Paiva,"Vila Nova de Paiva, Alhais e Fráguas",40.8514866739386,-7.72852602471106,126061062-4,Moradia,"Descrição   😍Esta moradia em banda em Vila Nova de Paiva é verdadeiramente impressionante, oferecendo três pisos de espaço generoso e uma variedade de comodidades que tornam a vida moderna uma verdadeira delícia. 👉No primeiro piso, a união perfeita entre a sala e a cozinha cria um ambiente acolhedor e funcional, ambos com varandas que convidam à contemplação da paisagem circundante, conta ainda com uma casa de banho completa, proporcionando conveniência adicional.  👉No segundo piso, quatro quartos espaçosos aguardam, incluindo um com casa de banho privativa equipada com um luxuoso sistema de hidromassagem. Dois dos quartos beneficiam de varandas privativas, ideais para desfrutar da brisa suave da montanha.  👉Um último piso, composto por um sótão amplo e versátil, oferece inúmeras possibilidades para personalização, seja para criar um espaço de trabalho tranquilo ou uma sala de jogos animada.  ✅Com vistas deslumbrantes para a majestosa Serra da Estrela, esta moradia é um verdadeiro paraíso. A espaçosa garagem com capacidade para três carros oferece conveniência e segurança para a sua frota. Além disso, a área de lazer, completa com uma churrasqueira de qualidade, proporciona o cenário perfeito para momentos memoráveis entre amigos e familiares. Equipada com aquecimento central a lenha e aspiração central, esta casa oferece o conforto e a comodidade que você merece.  Não perca a oportunidade de fazer desta moradia o seu lar dos sonhos.",A,200,406,--,200,4,2010,--,6,Não,3 Lug.
11,124901022-38,54500.0,11,Viseu,Nelas,Santar e Moreira,40.565326241333665,-7.89927398641613,124901022-38,Moradia,"Descrição   Moradia T2 situada no centro da vila de Santar Esta fantástica moradia de tipologia T2 está implantada num terreno com 62 m². A moradia é constituída por dois pisos, distribuídos da seguinte forma:  - Ao nível do rés-do-chão: garagem com lagar, cozinha e arrumos - Ao nível do primeiro andar: dois quartos, sala de estar, cozinha e quarto de banho.  Conta com um pátio nas traseiras da moradia, com um forno de lenha em pedra. Tem um furo de água e uma excelente exposição solar.  Venha conhecer, marque já visita!",NC,42,84,62,84,2,1942,--,1,Não,1 Lug.
12,122031151-45,135000.0,11,Viseu,Penalva do Castelo,Castelo de Penalva,40.6791897547058,-7.6426015698027,122031151-45,Moradia,"Descrição   Moradia T3 sita em Amiais, concelho de Penalva do Castelo. Encontra-se inserida num lote de terreno com mais de 800 m2 e é constituida por 3 pisos distribuídos da seguinte forma:  Piso inferior com cozinha, sala, casa de banho e arrumos; Rés do chão conta com cozinha, sala, casa de banho e 2 quartos; Piso superior com quarto, casa de banho e espaço amplo que poderá utilisar como sala de jogos ou outro.  No exterior possui terraço, arrumos e anexo de garagem. Esta moradia encontra-se localizada numa zona bastante calma, com vistas desafogadas e excelente exposição solar. Não perca esta excelente oportunidade!",F,110,330,800,100,3,1995,--,2,Não,2 Lug.
13,126191003-78,135000.0,13,Viseu,Resende,São Martinho de Mouros,41.0943563518336,-7.89353462576849,126191003-78,Quinta,"Descrição   Quintinha em São Martinho de Mouros com uma área total real a rondar os 30.000,00 m2 (3 ha) com exposição solar virada a poente. Constituída por uma parte urbana e uma rústica confinante, sendo esta dividida em quatro parcelas muito próximas umas das outras.  A parte urbana tem dois edifícios, um destinado a habitação e outro a arrumos agrícolas. O edifício de arquitetura diferente foi completamente reconstruído e dotado de equipamentos modernos. O edifício habitacional, de dois pisos, está registado e tem área de implantação de 60 m2. É se construção em pedra de granito, com laje em betão e cobertura renovada. Está a ser usado como arrumos agrícolas, pois os dois pisos são amplos e sem qualquer divisão. Não tem condições de habitabilidade. O outro edifício existente foi construído como estábulo para animais, estando neste momento a ser usado com arrumos agrícolas. Tem cerca de 120 m2 e um só piso, não está registado, mas há a possibilidade de ser legalizado e registado. Estes edifícios estão construídos num terreno classificado segundo o PDM de Resende como “Espaços Florestais de Proteção”, o que permite a construção / ampliação de moradia até aos 300 m2 de área bruta de construção.  A parte rústica dividida em quatro parcelas, tendo a maior mais de dois hectares de área real, e registada com 1.03 ha. É nesta parcela que estão os edifícios atrás mencionados, com água própria de mina e água de consortes canalizada para três tanques espalhados pelo terreno. Tem uma boa parte de cultura de vinha a produzir cerca de 18 pipas de vinho, cerejeiras com cerca de 7 / 8 toneladas de cereja de boa qualidade, castanheiros e muitas árvores de fruta variada. A montante desta parcela maior, existe uma outra com mais de meio hectare, junto a uma linha de água onde é canalizada a água que vai para a parcela maior. Mais abaixo da parcela maior existe uma outra com 2.000 m2. É dividida pela estrada principal, tendo uma pequena parcela da parte de baixo da estrada com cerejeiras e uma maior da parte de cima com eucaliptos e pinheiros. Muito próxima desta última parcela de terreno há uma outra, mais pequena, com 450 m2 que está plantada com cerejeiras de boa qualidade.  Venha fazer uma visita e deslumbre-se com as vistas soberbas sobre o “Douro Vinhateiro""!",NC,60,120,18 234,90,--,1970,--,0,Não,Não
14,126021033-48,225000.0,13,Viseu,Tondela,Lajeosa do Dão,40.5318233411283,-7.991068698940836,126021033-48,Quinta,"Descrição   No centro de Lajeosa do Dão, concelho de Tondela, encontra-se esta quinta, com 1,2 ha, composta por uma vinha com 0,69 ha licenciada para a produção de vinho do Dão, sendo o restante terreno ocupado por árvores na sua maioria frutíferas. No seu interior encontram-se duas antigas habitações, uma em ruínas, resultante do incêndio deOutubro de 2017, estando a outra devoluta mas com a estrutura exterior incólume. Este terreno dispõe de muita água, fornecida por um poço e por um reservatório subterrâneo. Este conjunto dispõe de diversas entradas, uma com acesso directo às habitações, duas com acesso pelas vias circundantes directamente para a vinha e por ultimo uma por um caminho para utilização de alfaias agrícolas. Apresenta-se como um excelente investimento, pela sua localização, pela produção vinícola, apetência agrícola e pela potencial edificabilidade, conforme o PDM do Local toda a frente para a rua Dr. António Pereira Abranches é considerado espaço central urbanizado e a frente virada pare a a rua António Alves Figueiredo espaço central urbanizável. Marque uma visita, venha conhecer e encante-se!",NC,445,--,11 900,--,--,1937,--,--,Não,Não
15,122461086-259,16000.0,25,Viseu,Santa Comba Dão,Treixedo e Nagozela,40.4365653991699,-8.10465145111084,122461086-259,Outros - Comercial,"Descrição   Situado em Treixedo, a 5km da vila de Santa Comba Dão, este barracão está inserido num lote com 290 m2.  Poderá remodelar a seu gosto e usá-lo para garagem ou apoio à agricultura.  Junto a uma zona habitacional, com bom ambiente. Bons acessos, boa exposição solar!",NC,290,--,290,--,--,,--,0,Não,Não
16,122211058-861,265000.0,20,Viseu,Cinfães,Santiago de Piães,41.05592318232465,-8.14969624248235,122211058-861,Armazém,"Descrição   Armazém de 600m2 para venda em Cinfães. Pavilhão de 600m2 de área com 8m de pé alto, com duas grandes portas de correr, de fácil acesso. Espaço totalmente amplo com um WC e balneário/vestiário. Excelente para armazenagem com bom parque de estacionamento e acesso de cargas. Unidade afeta a armazém ou utilização industrial.    Área Total de terreno: 7.200m2 Área Bruta de construção: 600m2  Localização: Santiago de Piães, Cinfães Uso Potencial: Armazém ou indústria, com layout flexível para acomodar uma ampla gama de atividades empresariais. Infraestrutura: Estrutura robusta, com espaço para parqueamento e terreno envolvente. Espaço Amplo: A grande área disponível permite a personalização do espaço conforme as necessidades do seu negócio. Versatilidade: Adequado tanto para atividades comerciais como industriais, com potencial para ser adaptado a diferentes setores de atividade. Oportunidade de Crescimento: Espaço ideal para expandir ou iniciar novas operações, garantindo um ambiente adequado para o desenvolvimento de negócios.  Para mais informações e agendamento de visitas, ligue comigo! Excluído do SCE, ao abrigo da alínea a) do n.° 2 do artigo 18.° do Decreto-Lei n.° 101-D/2020, de 7 de dezembro",NC,600,--,7 200,600,--,,--,0,Não,3 Lug.
17,122031182-15,180000.0,11,Viseu,Tondela,Caparrosa e Silvares,40.6237898234784,-8.09711991424606,122031182-15,Moradia,"Descrição   Moradia T4 para venda! Excelente moradia, em local completamente tranquilo, na localidade de Paranhos de Besteiros, zona de Tondela, constituída por 3 pisos. com áreas generosas. Dispõe de recuperador de calor para aquecimento central a lenha, e um termoacomulador para as águas sanitárias. Dispõe de furo de água. Possui ainda um terraço com vistas desafogadas para a Serra da Estrela. Pronta a habitar. Marque já a sua visita.",A,175,327,163,156,4,2019,--,1,Não,3 Lug.
18,122031074-162,10000.0,11,Viseu,Viseu,Rio de Loba,40.654068822,-7.9059208962505,122031074-162,Moradia,"Descrição   Moradia T0 para venda. Moradia em ruinas para reconstrução total, uma casa com dois pavimentos em pedra... Excelente para fazer dois apartamentos ou moradia independente.  Fica a 2 km do centro de Viseu.",NC,36,--,--,18,2,1989,--,1,Não,Não
19,122031181-3,19500.0,24,Viseu,Viseu,Bodiosa,40.71685720147883,-8.006073844999094,122031181-3,Outros - Habitação,"Descrição   Moradia de 50m2 em ruína, para reconstrução, inserida em lote de terreno de 50 m2.   Situada em zona urbana e de edificação, dotada de todas as infraestruturas: energia elétrica, rede pública de água e saneamento.  Localizado na simpática Aldeia de Aval, freguesia de Bodiosa, concelho de Viseu em Portugal, este imóvel em pedra é ideal para quem procura construir um refúgio de paz e aconchego. Descrito em uma matriz urbana, oferece ainda a possibilidade de anexação aos prédios confrontantes, se adquirido em conjunto, com outros artigos correspondentes aos lotes vizinhos, dos mesmos proprietários, que somados ultrapassam os 300m2.  A poucos metros do imóvel encontra-se paragem de autocarros da premiada MUV - Mobilidade Urbana de Viseu, servido pela Linha 20, podendo ser consultado no site da Câmara Municipal de Viseu:  Linha 20 - Hospital/Ribafeita (Via Silgueiros de Bodiosa) Aval-Capela St Marinha 1 Dias Úteis: 14:17 - 18:07 - 19:27 - 19:47  Sábados:14:07 - 20:08  Domingos e Feriados: 14:07 - 20:08    Aval-Capela St Marinha 2  Dias Úteis: 07:27 - 09:25 - 12:01 Sábados: 07:52  Domingos e Feriados: 08:24  Gostou do imóvel? Surgiram dúvidas? Agende uma visita, estamos à disposição para atendê-los de forma presencial ouvirtual, utilizando as ferramentas WhatsApp, Zoom, Google Meet ou MicrosoftTeams.",NC,50,50,50,45,--,1937,--,--,Não,Não
20,122031181-2,8900.0,24,Viseu,Viseu,Bodiosa,40.71693902959407,-8.006243341218038,122031181-2,Outros - Habitação,"Descrição   Moradia de 38m2, em ruína, para reconstrução, inserida em lote de terreno de 20 m2.  Situada em zona urbana e de edificação, dotada de todas as infraestruturas (energia elétrica, rede pública de água e saneamento). Localizado na simpática Aldeia de Aval, freguesia de Bodiosa, concelho de Viseu, em Portugal, este imóvel em pedra é ideal para quem procura construir um refúgio de paz e aconchego.Descrito em matriz urbana, oferece ainda a possibilidade de anexação aos prédios confrontantes, se adquirido em conjunto, com outros artigos correspondentes aos lotes vizinhos dos mesmos proprietários, os quais, somados, ultrapassam os 300m2. A poucos metros do imóvel encontra-se paragem de autocarros da premiada MUV - Mobilidade Urbana de Viseu, servido pela Linha 20, podendo ser consultado no site da Câmara Municipal de Viseu: Linha 20 - Hospital/Ribafeita (Via Silgueiros de Bodiosa)Aval-Capela St Marinha 1Dias Úteis: 14:17 - 18:07 - 19:27 - 19:47 Sábados: 14:07 - 20:08 Domingos e Feriados: 14:07 - 20:08  Aval-Capela St Marinha 2Dias Úteis: 07:27 - 09:25 - 12:01 Sábados: 07:52Domingos e Feriados: 08:24 Gostou do imóvel? Surgiram dúvidas?  Agende uma visita, estamos à disposição para atendê-los de forma presencial ou virtual, utilizando as ferramentas WhatsApp, Zoom, Google Meet ou Microsoft Teams.",NC,38,38,20,34,--,1937,--,--,Não,Não
21,122031157-21,115000.0,1,Viseu,Tarouca,Tarouca e Dálvares,41.035295715938,-7.7604274404059,122031157-21,Apartamento,"Descrição    Tipo de Imóvel: Apartamento T2 Ano de Construção: 2002 Localização: Carvalhais, na União das freguesias de Tarouca e Dálvares, concelho de Tarouca e Distrito de Viseu Dimensão: Área bruta privativa 118m2, área bruta dependente 61m2 (garagem+varandas) Configuração do apartamento: primeiro andar de prédio com dois andares Ambiente Circundante: Vistas desafogadas  Composição: sala com varanda; 2 quartos com piso flutuante, sendo um deles suíte com zona de vestuário e varanda para o Vale do Varosa; casa de banho social; cozinha mobilada e equipada (fogão, forno, exaustor e esquentador para a água) varanda envolvente com a sala e cozinha; garagem fechada para duas viaturas.",D,118,179,--,107,2,2002,1º Andar,2,Não,2 Lug.
22,122031174-12,115000.0,21,Viseu,Viseu,Viseu,40.6391268225188,-7.84169012685422,122031174-12,Terreno,"Descrição   TERRENO À VENDA EM FRAGOSELA CONSTRUA JÁ A SUA CASA DE SONHO A 7 KM DO CENTRO DE VISEU! Descrição Localização: Localização privilegiada, freguesia de Fragosela de Baixo, uma zona calma e tranquila. Proximidade a Viseu: A apenas 7 km (cerca de 10 minutos) da Câmara Municipal de Viseu, perfeito, pronto para construir aquela casa que você sempre quis, para dar conforto à sua família. Viabilidade de Construção: Terreno com viabilidade para construção de uma moradia unifamiliar, ideal para projetar a casa dos seus sonhos. Dimensão do Terreno: Cerca de 2754m², proporcionando amplo espaço para construção e lazer. Infraestruturas Disponíveis: Água da rede pública, saneamento e eletricidade. Acesso: Com pavimento alcatroado, garantindo fácil acesso ao terreno. Vistas Desafogadas: Oferece paisagens abertas e serenas, perfeitas para quem busca tranquilidade, e uma excelente Exposição solar.   Aguardo a sua visita!.....",NC,--,--,2 754,--,--,1967,--,0,Não,Não
23,122031174-11,60000.0,21,Viseu,Viseu,Viseu,40.6391268225188,-7.84169012685422,122031174-11,Terreno,"Descrição   TERRENO À VENDA EM FRAGOSELA CONSTRUA JÁ A SUA CASA DE SONHO A 7 KM DO CENTRO DE VISEU! Descrição Localização: Localização privilegiada, Freguesia de Fragosela de Baixo, uma zona calma e Tranquila. Proximidade a Viseu: a apenas 7 km (cerca de 10 minutos) da Câmara Municipal de Viseu, perfeito, pronto para construir aquela casa que você sempre quis, para dar conforto à sua família. Viabilidade de Construção: terreno com viabilidade para construção de uma moradia unifamiliar, ideal para projetar a casa dos seus sonhos. Dimensão do Terreno: cerca de 1392m², proporcionando amplo espaço para construção e lazer. Infraestruturas Disponíveis: água da rede pública, saneamento e eletricidade. Acesso: Com pavimento alcatroado, garantindo fácil acesso ao terreno. Vistas Desafogadas: Oferece paisagens abertas e serenas, perfeitas para quem busca tranquilidade, e uma excelente Exposição solar. Aguardo a sua visita!...",NC,--,--,1 392,--,--,1967,--,0,Não,Não
24,122031174-10,60000.0,21,Viseu,Viseu,Viseu,40.6391268225188,-7.84169012685422,122031174-10,Terreno,"Descrição   TERRENO À VENDA EM FRAGOSELA CONSTRUA JÁ A SUA CASA DE SONHO A 7 KM DO CENTRO DE VISEU! Descrição Localização: Localização privilegiada, na freguesia de Fragosela de Baixo, uma zona calma e tranquila; Proximidade a Viseu: a apenas 7 km (cerca de 10 minutos) da Câmara Municipal de Viseu, pronto para construir aquela casa que você sempre quis, para dar conforto à sua família; Viabilidade de Construção: terreno com viabilidade para construção de uma moradia unifamiliar, ideal para projetar a casa dos seus sonhos; Dimensão do Terreno: cerca de 1362m², proporcionando amplo espaço para construção e lazer; Infraestruturas Disponíveis: água da rede pública, saneamento e eletricidade; Acesso: Com pavimento alcatroado, garantindo fácil acesso ao terreno; Vistas Desafogadas: Oferece paisagens abertas e serenas, perfeitas para quem busca tranquilidade, e uma excelente Exposição solar.   Aguardo a sua visita!.....",NC,--,--,1 362,--,--,1967,--,0,Não,Não
25,124651083-285,70000.0,11,Coimbra,Coimbra,Eiras e São Paulo de Frades,40.2507671235764,-8.42063653765324,124651083-285,Moradia,"Descrição   Moradia T3 para reabilitar Encantadora moradia antiga, com grande potencial, para reabilitação! Localizada a apenas 10 minutos do centro da cidade, em zona calma e tranquila. A propriedade oferece o equilíbrio perfeito entre a proximidade urbana e a tranquilidade rural, permitindo ouvr o chilrear dos pássaros todo o dia. A casa é composta por 2 andares com 3 quartos e águas furtadas, que com seu teto inclinado e janelas pitorescas, adicionam um toque de personalidade e um potencial único para um espaço adicional, como um escritório ou espaço de leitura/lazer. No exterior, encontra um logradouro, ideal para momentos de lazer ao ar livre, para convívio entre família e amigos.  Esta é uma oportunidade única para quem procura uma moradia para reabilitar, numa zona serena, com todos os benefícios de estar a uma curta distância da agitação do centro da cidade.  Contacte-me!",E,65,130,--,52,3,1985,--,1,Não,Não
