,listingTitle,listingPrice,listingTypeID,regionName1,regionName2,regionName3,latitude,longitude,listing_title,listing_type,description,energy_efficiency,Área Bruta Privativa m2,Área Bruta m2,Área Total do Lote m2,Área Útil m2,Quartos,Ano de construção,Piso,WCs,Elevador,Estacionamento
0,122031157-22,479000.0,10,Viseu,Viseu,Viseu,40.6488749770872,-7.91155509312623,122031157-22,Loja,"Descrição    Tipo de Imóvel: Loja comercial/serviços + Apartamento T2 para venda em Viseu. Ano de Construção: 2022, combinando conforto e modernidade. Localização: Fica em uma zona residencial tendo em sua envolvência vários serviços disponíveis, desde Shopping Palácio do Gelo, hospitais, escolas, multibancos, restaurantes, cafés e ginásio. Dimensão do imóvel: Área Bruta Total 345,21 m2 + Área Bruta Privativa 303,59 m2 + Área Útil 303,59 m2. Configuração do Imóvel: Piso térreo destinado a comércio/serviços (loja 1) com 207,07 m2, no mesmo piso possui um compartimento amplo destinado a garagem e arrumos com 41,62 m2. No piso superior (com entrada independente) Apartamento T2 com 96,52 m2. Ambiente Circundante: Zona nobre e residencial da cidade de Viseu. Tendo na sua envolvência serviços, Shopping Palácio do Gelo, hospitais, escolas, restaurantes, cafés, ginásio, bancos, etc. O que faz deste imóvel um excelente investimento. Composição  LOJA - Loja com 207,07 m2. Além desta área, a loja está ainda preparada para a montagem de cozinha industrial o que possibilita fazer deste espaço um restaurante e podendo também abrir uma passagem para a área da garagem, criando assim um espaço de armazenamento. Tem dois wc(s). Alarme instalado, luzes de LED e ar condicionado Daikin. Mediante a atividade comercial que venha a ser feita no local será colocado o piso e restantes de acabamentos. APARTAMENTO - Apartamento com área de 96,52 m2. Composto por 2 quartos com armários embutidos e varanda (que faz ligação entre os quartos e a sala). Casa de banho completa de apoio aos dois quartos. Sala e cozinha em conceito openspace sendo muito ampla. Cozinha equipada com exaustor, placa vitro-cerâmica e os móveis lacados em branco. Existe um compartimento para a lavandaria onde está a máquina para o aquecimento das águas. WC de apoio a área da sala e cozinha. EQUIPAMENTOS DO APARTAMENTO - Chão aquecido, ar condicionado Daikin nos quartos e na sala/cozinha, vidors duplos e isotérmicos. OUTRAS OBSERVAÇÕES - Construção de alta qualidade, feita em ferro e betão armado, uso de madeiras maciças, havendo um ótimo isolamento térmico e acústico. GARAGEM/ARRUMOS - Garagem fechada com comando para dois carros com uma área de 41,62 m2.",C,303,345,--,303,2,2022,1º Andar,4,Não,2 Lug.
1,122031169-34,220000.0,11,Viseu,Vila Nova de Paiva,"Vila Nova de Paiva, Alhais e Fráguas",40.8498372429055,-7.73640343685738,122031169-34,Moradia,"Descrição   Moradia T3 para venda Excelente Moradia, em banda ( de ponta), situada em Vila Nova de Paiva, Av. Carlos Trindade e Sá. Zona habitacional de prestigio, urbana, calma e próximo de todos os serviços. Uma vila muito procurada para viver, pela sua qualidade de vida, nomeadamente, a segurança.  Com a aquisição desta moradia poderá usufruir de uma qualidade de vida superior: Escolas, Farmácia, Centro de Saúde, Escolas de Condução, Pastelarias e Restaurantes de qualidade. Este imóvel possui todas as condições para poder viver confortavelmente, tanto no seu interior como exterior, com um logradouro de 217 metros quadrados .  Possui aquecimento central a pellets e ar condicionado. R/Chão ( com três terraços) -Hall  -Casa de banho -Sala ( portadas para o exterior) -Sala/quarto (portadas para o exterior) -Cozinha ( portadas para o exterior) -Despensa 1º Andar Hall ( com roupeiro embutido) 1 suite com varanda 2 quartos ( com varanda) 1 casa de banho 3 Anexos:  Garagem fechada- com portão automático Casa das máquinas Lavandaria  Furo artesiano que abastece toda a casa e jardim, com filtro purificador 2 painéis térmicos para água e 2 painéis fotovoltaicos para produção de energia A oportunidade existe. Aproveite Contacte-me",B,206,217,382,206,4,2002,--,6,Não,2 Lug.
2,124541010-613,65000.0,11,Viseu,Tarouca,Tarouca e Dálvares,41.0175685017459,-7.77438212921922,124541010-613,Moradia,"Descrição   Com grande potencial esta moradia T2 é o imóvel que procura para habitação própria ou para investimento ! No centro de Tarouca, com todos os serviços essenciais nas proximidades, está habitavel, mas com uma remodelação pode tornar-se um imóvel de grande valor futuro ! Moradia de 2 pisos, com acessos diretos a um grande pateo :  poderá fazer um piscina , uma churrasqueira , jardim , manter o estacionamento atual. No piso zero, tem uma sala e um wc completo. No piso 1 tem uma sala, uma cozinha, um quarto, um wc e um arrumo.   Localização : Rua do Outeiro",NC,82,82,257,80,2,1951,--,2,Não,2 Lug.
3,123301313-1,250000.0,1,Lisboa,Sintra,Algueirão-Mem Martins,38.80720056035079,-9.3484807689906,123301313-1,Apartamento,"Descrição   Apartamento T2 para venda  Apartamento T2 para venda  Apresento-lhe este belissímo T2 com parqueamento, situado no Bairro da Cavaleira, Algueirão Mem-Martins.  Para além de boas áreas, e duas generosas varandas, de onde pode, em dias de sol, ver até o mar!..   Aqui além da vista desafogada também respira ar puro da nossa bela Serra de Sintra.   Perto de vários Supermercados, escolas, acesso rápido á IC 16 - e IC19.  Tudo ótimas razões, para viver, ou fazer um bom investimento.  Não hesite, em marcar uma visita, e ter a prova real do que aqui lhe apresento",C,97,127,--,85,2,2001,3º Andar,1,Sim,1 Lug.
4,124831060-129,149900.0,11,Viseu,Oliveira de Frades,Arcozelo das Maias,40.75426196871559,-8.2658357482475,124831060-129,Moradia,"Descrição   🔴🔵NOVA ANGARIAÇÃO 🔴🔵  Esta é a sua grande oportunidade de investimento.  A moradia foi recuperada recentemente, aproveitando o seu traço original e esta praticamente concluída, foi pensada da seguinte forma:  Pode contar com:  ✅Rés-do-chão com Sala e cozinha; ✅Piso Superior com 2 suites;  ✅Contém uma zona de lazer com churrasqueira e uma vista de cortar o fôlego enquanto se diverte com amigos, presenteada ainda com uma piscina para aproveitar os dias quentes de verão. ✅Estacionamento para 2 viaturas;  Entre todas as comodidades e mais-valias que esta moradia oferece são de destacar:  ✅4 Frentes; ✅Vidros duplos; ✅Preparada para receber Ar-Condicionado; ✅Excelente exposição solar e repleto de luz natural; ✅Fantástica localização para turismo rural ou alojamento local; ✅Zona sossegada; ✅Vistas super desafogadas; ✅Junto a serviços e transportes públicos;  Sendo esta casa um espaço ideal para qualquer que seja o seu fim de investimento é só dar asas à imaginação e, quem sabe, até ser a oportunidade de realização de um sonho.  Agarre já esta oportunidade !  Marque a sua visita ! 124831060-129  O FUTURO COMEÇA HOJE ! 🔴🔵",NC,266,--,--,100,2,1962,--,2,Não,Não
5,124911005-1707,3000.0,21,Viseu,Vouzela,Vouzela e Paços de Vilharigues,40.702068998098,-8.13642747255337,124911005-1707,Terreno,"Descrição   Terreno em Paços de Vilharigues, Vouzela. Tendo como área total 770 m2, o terreno carateriza-se por ser plano e confrontar com a estrada principal que faz a ligação Vouzela - Acesso A 25. Beneficia de umas vistas desafogadas e de uma excelente exposição solar. Situa-se numa zona tranquila, estando a apenas 2km do acesso A25, a 1 km da Zona Industrial Monte Cavalo e a apenas 5 km do centro da vila de Vouzela. Excelente oportunidade! Marque já visita!",NC,--,--,770,--,--,,--,0,Não,Não
6,126191007-78,245000.0,11,Viseu,Lamego,Lamego (Almacave e Sé),41.1055068661249,-7.8079750277331,126191007-78,Moradia,"Descrição   Moradia V4 localizada no centro da cidade de Lamego. Este imóvel é composto por quatro quartos, um deles suite, sala,cozinha, 2 wcs, escritório, lavandaria, despensa e garagem interior para duas viaturas. No exterior temos um jardim ideal para lazer e estacionamento para três viaturas. A moradia encontra-se em excelente estado.Possui aquecimento central e caixilharia dupla. Excelente localização, exposição solar e preço atrativo, fazem deste imóvel merecedor da sua visita! Ligue-me e sem qualquer compromisso venha conhecer a moradia ideal para si!",D,200,--,300,150,4,1991,--,2,Não,3 Lug.
7,122461101-89,49000.0,11,Viseu,Santa Comba Dão,Treixedo e Nagozela,40.4346993739822,-8.09376217676749,122461101-89,Moradia,"Descrição     Moradia em fase de acabamentos localizada no centro da aldeia de Treixedo! -Ao adquirir esta moradia tem a possibilidade de decidir os acabamentos a seu gosto tornando-a assim na casa dos seus sonhos. -A moradia está implantada num terreno com 140,74m2, e compõem-se da seguinte forma: -No rés do chão existe um espaço amplo, que pode perfeitamente ser transformado numa sala/cozinha open-space, um quarto de banho e um escritório. -No piso superior tem espaço para três quartos, dois quartos de banho escolhendo a disposição a seu gosto. -A moradia prima por uma construção de primeira qualidade, tem escadas e peitoris em granito, vidros duplos, e uma boa exposição solar. -A moradia oferece ainda outra possibilidade, a de negócio visto ter alvará aprovado para comércio. Quem sabe não tem aqui a possibilidade de se instalar por conta própria. -Com o IP3 mesmo ao lado da aldeia, tem todas as comodidades para se deslocar ás principais cidades das proximidades tais como Tondela, Viseu ou Coimbra. -Se está á procura de casa, venha visitar esta e ver todas as possibilidades que tem à sua frente. -Marque visita hoje mesmo.",NC,29,129,140,100,0,1937,--,1,Não,Não
8,124891007-287,105000.0,1,Viseu,Nelas,Canas de Senhorim,40.495071952331244,-7.8832108377639,124891007-287,Apartamento,"Descrição   Apartamento T3 duplex no centro da Vila de Canas de Senhorim Com área bruta privativa de 130m2 e duas frentes, este imóvel é composto por:  Ao nível do rés-do-chão - Cozinha totalmente renovada e ainda sem uso; - WC de serviço (é possível colocar base de chuveiro por ter ligações feitas); - Quarto. Andar - Hall; - Dois quartos; - Casa de banho com banheira; - Sala com recuperador de calor e acesso a espaçosa varanda. A exposição solar do apartamento é generosa, bem com as suas áreas.  Dispõe de garagem individual com acesso direto pelo exterior.  Localiza-se em frente ao conceituado restaurante ""Zé Pataco"", em Canas de Senhorim.  Distâncias relevantes: 22km de Viseu; 143km do Porto Agende a sua visita!",D,130,146,--,130,3,1997,R/C,2,Não,1 Lug.
9,126061001-218,345000.0,11,Viseu,Viseu,Repeses e São Salvador,40.64075064232679,-7.93348857623279,126061001-218,Moradia,"Descrição   PROCURA UMA MORADIA COM ESPAÇO EXTERIOR, EXCELENTE EXPOSIÇÃO SOLAR E COM MUITA PRIVACIDADE? ESTA É A SUA CASA! Moradia T4 com 672m2 de área de construção implantada num terreno com 720m2 rodeada de espaços verdes e árvores de fruto, este imóvel proporciona tranquilidade, conforto e privacidade com vistas desafogadas sobre a natureza e a serra e possui uma excelente exposição solar. A disposição é feita em 3 pisos habitacionais; Cave: possui garagem ampla para 2 carros com portão automatizado, uma divisão para arrumos, uma cozinha/sala totalmente mobilada e equipada e uma casa de banho completa; R/chão: hall de entrada, uma cozinha como nova com acesso a um terraço, uma sala de estar e jantar ampla com lareira e varanda, um quarto em suite com casa de banho privativa e uma casa de banho de serviço de apoio á zona social; 1ºandar: 3 quartos com roupeiros embutidos, um deles em suite com casa de banho privativa e uma casa de banho completa de apoio às outras divisões e um zona de arrumos. No exterior possui um coberto com zona de churrasqueira, o logradouro é composto por jardim e diversas árvores de fruto, possui também um furo artesiano que proporciona água em abundância quer para a habitação, quer para o jardim. A caixilharia é em alumínio de correr com vidro duplo, o aquecimento central é feito através de caldeira a pellets e painéis solares para aquecimento das águas sanitárias. Este imóvel encontra-se em ótimo estado de conservação e está pronto para ser a sua nova morada! Venha Conhecer!",A+,448,672,720,448,4,1999,--,4,Não,2 Lug.
