,Price,Square Meters,Address,Bedrooms,Bathrooms
868,450 000 €,72,"Lisboa, Alvalade",3,2
869,634 000 €,342,"Lisboa, Arroios",--,--
870,164 000 €,20,"Lisboa, Misericórdia",1,1
871,359 000 €,62,"Lisboa, Penha de França",2,1
872,315 000 €,50,"Lisboa, Avenidas Novas",1,1
873,375 000 €,108,"Cascais, São Domingos de Rana",3,2
874,1 750 000 €,269,"Lisboa, Alcântara",4,4
875,335 000 €,188,"Odivelas, Ramada e Caneças",3,2
876,80 000 €,--,"Cadaval, Vermelha",--,--
877,550 000 €,281,"Odivelas, Pontinha e Famões",4,3
878,550 000 €,190,"Odivelas, Pontinha e Famões",4,3
879,2 780 000 €,193,"Lisboa, Ajuda",4,4
880,1 280 000 €,124,"Lisboa, Ajuda",2,3
881,246 000 €,117,"Torres Vedras, A dos Cunhados e Maceira",3,2
882,600 000 €,1512,"Oeiras, Barcarena",--,0
883,285 000 €,52,"Lisboa, Alcântara",3,1
884,175 000 €,62,"Sintra, Agualva e Mira-Sintra",2,1
885,141 000 €,62,"Azambuja, Azambuja",2,0
886,325 000 €,96,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",2,1
887,315 000 €,96,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",2,1
888,235 000 €,120,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",3,2
889,285 000 €,50,"Lisboa, Alcântara",2,1
890,750 000 €,98,"Cascais, Cascais e Estoril",2,1
891,220 000 €,73,"Lisboa, Beato",2,1
892,398 000 €,97,"Lisboa, Benfica",3,1
893,580 000 €,128,"Lisboa, Alvalade",3,4
894,490 000 €,85,"Lisboa, Avenidas Novas",2,1
895,549 000 €,151,"Lisboa, Lumiar",2,2
896,140 000 €,42,"Alenquer, Carnota",2,1
897,750 000 €,115,"Loures, Santa Iria de Azoia, São João da Talha e Bobadela",4,0
898,217 500 €,103,"Sintra, Massamá e Monte Abraão",3,2
899,278 000 €,80,"Mafra, Azueira e Sobral da Abelheira",3,2
900,500 000 €,147,"Odivelas, Odivelas",3,2
901,750 000 €,162,"Cascais, São Domingos de Rana",3,3
902,367 500 €,52,"Lisboa, Misericórdia",2,1
903,1 300 000 €,380,"Sintra, Queluz e Belas",3,4
904,1 300 000 €,380,"Sintra, Queluz e Belas",3,4
905,493 500 €,68,"Lisboa, Misericórdia",2,1
906,375 000 €,110,"Cascais, Alcabideche",2,2
907,360 000 €,65,"Lisboa, Belém",0,1
908,240 000 €,120,"Sintra, Almargem do Bispo, Pêro Pinheiro e Montelavar",3,2
909,525 000 €,72,"Lisboa, Misericórdia",2,1
910,750 000 €,162,"Cascais, São Domingos de Rana",3,3
911,525 000 €,66,"Lisboa, Misericórdia",2,1
912,682 500 €,70,"Lisboa, Misericórdia",--,0
913,149 500 €,43,"Amadora, Falagueira - Venda Nova",1,1
914,335 000 €,113,"Lisboa, Benfica",4,2
915,65 000 €,220,"Alenquer, Ventosa",1,0
916,159 000 €,67,"Loures, Santa Iria de Azoia, São João da Talha e Bobadela",2,1
917,235 000 €,68,"Sintra, Agualva e Mira-Sintra",2,1
918,160 000 €,48,"Cascais, Cascais e Estoril",1,1
919,280 000 €,73,"Lisboa, Penha de França",2,1
920,2 488 500 €,329,"Lisboa, Misericórdia",--,0
921,225 000 €,62,"Cascais, Cascais e Estoril",2,1
922,187 500 €,80,"Sintra, Queluz e Belas",2,1
923,820 000 €,205,"Lisboa, São Domingos de Benfica",5,3
924,599 000 €,263,"Odivelas, Póvoa de Santo Adrião e Olival Basto",--,--
925,285 000 €,52,"Lisboa, Campo de Ourique",1,1
926,3 700 000 €,349,"Cascais, Cascais e Estoril",6,5
927,1 200 000 €,172,"Mafra, Ericeira",0,3
928,210 000 €,149,"Sobral de Monte Agraço, Sobral de Monte Agraço",3,2
929,250 000 €,60,"Cascais, Alcabideche",1,1
930,230 000 €,100,"Mafra, Santo Isidoro",2,1
931,95 000 €,127,"Vila Franca de Xira, Vila Franca de Xira",0,1
932,699 000 €,104,"Lisboa, Estrela",2,3
933,1 800 000 €,294,"Cascais, Cascais e Estoril",5,4
934,1 300 000 €,265,"Lisboa, Avenidas Novas",5,3
935,150 000 €,301,"Odivelas, Pontinha e Famões",--,0
936,144 000 €,289,"Odivelas, Pontinha e Famões",--,0
937,345 000 €,84,"Odivelas, Ramada e Caneças",2,1
938,155 000 €,75,"Loures, Santo António dos Cavaleiros e Frielas",2,1
939,259 500 €,107,"Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa",2,2
940,225 000 €,87,"Amadora, Venteira",2,1
941,695 000 €,154,"Lisboa, Parque das Nações",4,2
942,2 350 000 €,312,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",4,5
943,135 000 €,40,"Sintra, Queluz e Belas",1,1
944,550 000 €,96,"Cascais, Carcavelos e Parede",2,2
945,485 000 €,99,"Lisboa, Areeiro",2,1
946,423 750 €,107,"Lisboa, São Vicente",5,1
947,230 000 €,117,"Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",2,1
948,229 500 €,109,"Vila Franca de Xira, Alverca do Ribatejo e Sobralinho",3,2
949,65 000 €,29,"Lisboa, Beato",--,0
950,915 000 €,342,"Odivelas, Pontinha e Famões",5,5
951,525 000 €,104,"Lisboa, Estrela",3,2
952,745 000 €,159,"Lisboa, Estrela",1,2
953,70 000 €,--,"Sintra, Almargem do Bispo, Pêro Pinheiro e Montelavar",--,--
954,370 000 €,85,"Lisboa, Estrela",3,1
955,350 000 €,50,"Lisboa, Estrela",1,1
956,240 000 €,79,"Lisboa, Beato",2,1
957,400 000 €,104,"Cascais, Cascais e Estoril",3,1
