Address,Price,Property Type,Rooms,Bathrooms,Square Meters
"Linda-a-velha, Oeiras",280.000 €,Apartamento,2,1,74
"Misericórdia, Lisboa",550.000 €,Apartamento,2,2,68
"Ajuda, Lisboa",335.000 €,Apartamento,2,1,72
"Ajuda, Lisboa",335.000 €,Apartamento,2,1,72
"Alvalade, Lisboa",Sob Consulta,Apartamento,4,2,127
"Arroios, Lisboa",339.500 €,Apartamento,1,1,54
"Pontinha e Famões, Lisboa",970.000 €,Moradia Isolada,4,4,125
"Barcarena, Lisboa",285.000 €,Apartamento,2,1,54
"Rio de Mouro, Sintra",185.000 €,Apartamento,3,1,74
"Vialonga, Lisboa",135.000 €,Apartamento,1,1,43
"Carcavelos e Parede, Lisboa",185.000 €,Apartamento,1,1,-1
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",310.000 €,Apartamento,2,1,105
"Carcavelos e Parede, Lisboa",327.000 €,Duplex,2,1,2
"Campolide, Lisboa",290.000 €,Apartamento,2,1,60
"Alvalade, Lisboa",Sob Consulta,Apartamento,4,2,152
"Carnaxide e Queijas, Lisboa",349.000 €,Apartamento,2,1,90
"Bairro dos Actores, Lisboa",Sob Consulta,Apartamento,3,1,84
"Odivelas Centro, Odivelas",245.000 €,Apartamento,3,1,80
"Santa Clara, Lisboa",239.000 €,Apartamento,2,1,92
"Madredeus, Lisboa",179.900 €,Apartamento,2,1,50
"Olivais Sul, Lisboa",300.000 €,Apartamento,2,1,74
"Linda-a-Pastora, Oeiras",427.000 €,Apartamento,2,2,100
"Algueirão/Mem-Martins, Sintra",180.000 €,Apartamento,1,1,69
"Amoreiras, Lisboa",275.000 €,Apartamento,1,1,52
"Benfica, Lisboa",297.500 €,Apartamento,2,1,63
"Vialonga, Lisboa",279.500 €,Apartamento,3,2,113
"Alcântara, Lisboa",585.000 €,Apartamento,3,3,125
"Parque das Nações - Expo Norte, Lisboa",1.980.000 €,Moradia em Banda,5,4,185
"Alto dos Moinhos - Laranjeiras, Lisboa",Sob Consulta,Apartamento,3,2,120
"Centro de Carnaxide, Oeiras",315.000 €,Apartamento,3,2,80
"Alto dos Moinhos, Lisboa",735.000 €,Apartamento,3,2,110
"Campo de Ourique, Lisboa",538.000 €,Apartamento,2,1,76
"Avenidas Novas, Lisboa",635.000 €,Apartamento,6,3,0
"Ramada e Caneças, Lisboa",355.000 €,Apartamento,3,2,100
"Tala, Sintra",398.000 €,Moradia Isolada,2,2,84
"Lapa, Lisboa",1.400.000 €,Apartamento,3,3,153
"Alvalade, Lisboa",415.000 €,Apartamento,2,1,79
"Alfragide, Lisboa",169.000 €,Apartamento,1,1,43
"Marvila, Lisboa",315.000 €,Apartamento,3,2,85
"Queluz e Belas, Lisboa",175.000 €,Apartamento,2,1,44
"Alcochete, Alcochete",260.000 €,Apartamento,1,1,50
"Massamá, Sintra",310.000 €,Apartamento,3,2,109
"Casal Gouveia, Sintra",197.000 €,Apartamento,3,1,71
"Arroios, Lisboa, Lisboa",339.000 €,Apartamento,1,1,65
"Bairro da Milharada, Odivelas",665.000 €,Moradia Geminada,3,3,115
"Benfica, Lisboa",320.000 €,Apartamento,2,1,85
"Odivelas, Lisboa",210.000 €,Apartamento,3,1,61
"Porto Salvo, Lisboa",370.000 €,Apartamento,3,2,139
"Santo António Cavaleiros, Loures",160.000 €,Apartamento,1,1,63
"São Domingos de Rana, Lisboa",825.000 €,Moradia em Banda,3,3,150
"Sacavém e Prior Velho, Lisboa",145.000 €,Apartamento,1,1,60
"Sacavém, Loures",380.000 €,Apartamento,2,2,120
"Monte Abraão, Sintra",245.000 €,Apartamento,4,2,116
"Agualva e Mira-Sintra, Lisboa",165.000 €,Apartamento,1,1,1
"Barro, Loures",220.000 €,Apartamento,2,1,65
"Apelação, Loures",269.000 €,Apartamento,2,2,80
"Cabriz, Sintra",315.000 €,Moradia Geminada,3,2,90
"Barcarena, Lisboa",190.000 €,Moradia Geminada,1,1,0
"São Pedro, Sintra",300.000 €,Moradia em Banda,2,1,50
"Misericórdia, Lisboa",760.000 €,Apartamento,2,3,82
"Reboleira, Amadora",162.000 €,Apartamento,1,1,47
"Olivais Norte, Lisboa",218.000 €,Apartamento,1,1,48
"Massamá e Monte Abraão, Lisboa",289.500 €,Apartamento,2,2,86
"Odivelas, Lisboa",Sob Consulta,Apartamento,2,1,85
"Alhandra, São João dos Montes e Calhandriz, Lisboa",299.000 €,Apartamento,3,2,110
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",280.000 €,Apartamento,3,2,95
"Telheiras, Lisboa",350.000 €,Apartamento,3,2,92
"São Vicente, Lisboa",420.000 €,Apartamento,3,1,70
"Buraca, Amadora",295.000 €,Apartamento,3,2,95
"Parque das Nações - Expo Norte, Lisboa",769.000 €,Apartamento,3,2,123
"Misericórdia, Lisboa",1.000.000 €,Duplex,4,4,148
"Bairro Alto, Lisboa",480.000 €,Apartamento,2,1,90
"Misericórdia, Lisboa",580.000 €,Apartamento,2,1,78
"Carnaxide, Oeiras",199.000 €,Apartamento,3,1,79
"Venteira, Amadora",230.000 €,Apartamento,3,2,81
"São Domingos de Rana, Lisboa",349.000 €,Andar Moradia,3,3,132
"Parque das Nações, Lisboa",199.500 €,Apartamento,2,1,57
"Benfica, Lisboa",429.000 €,Apartamento,3,2,75
"Cacilhas, Oeiras",570.000 €,Moradia em Banda,3,2,134
"Bairro do Charquinho, Lisboa",265.000 €,Duplex,4,1,78
"Marvila, Lisboa",325.000 €,Apartamento,3,2,102
"Alcântara, Lisboa",230.000 €,Apartamento,0,1,40
"Caparica e Trafaria, Setúbal",270.000 €,Andar Moradia,3,1,75
"São Domingos de Rana, Lisboa",545.000 €,Moradia Geminada,3,3,112
"Penha de França, Lisboa",235.000 €,Apartamento,2,1,40
"Mina de Água, Lisboa",215.000 €,Apartamento,2,1,55
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",249.000 €,Apartamento,2,1,63
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",300.000 €,Apartamento,4,2,100
"Olivais, Lisboa",Sob Consulta,Apartamento,1,1,42
"Restelo Estádio, Lisboa",545.000 €,Apartamento,3,2,96
"Alto de Santa Catarina, Oeiras",385.000 €,Apartamento,2,2,86
"Chiado - Bica, Lisboa",490.000 €,Moradia,2,1,81
"Centro de Carnaxide, Oeiras",255.000 €,Apartamento,3,2,90
"Encarnação, Lisboa",890.000 €,Moradia,3,3,137
"Porto Salvo, Lisboa",275.900 €,Apartamento,3,1,78
"Cacém e São Marcos, Lisboa",217.000 €,Apartamento,3,2,86
"Cascais e Estoril, Lisboa",1.800.000 €,Moradia Isolada,4,3,189
"Campo de Ourique, Lisboa",1.295.000 €,Apartamento,3,2,151
"Estoril, Cascais",320.000 €,Apartamento,2,2,95
"Falagueira-Venda Nova, Lisboa",199.900 €,Apartamento,2,1,57
"Avenidas Novas, Lisboa",954.000 €,Apartamento,2,3,107
"Mina, Amadora",185.000 €,Apartamento,2,1,55
"Avenidas Novas, Lisboa",449.000 €,Apartamento,3,1,78
"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Lisboa",850.000 €,Moradia Isolada,5,4,293
"Algueirão, Mem Martins, Sintra",465.000 €,Moradia,5,3,117
"Portela, Loures",459.000 €,Apartamento,3,2,133
"Alvalade, Lisboa",475.000 €,Duplex,2,1,92
"St.º António da Caparica, Almada",179.900 €,Apartamento,1,1,40
"Areeiro, Lisboa",295.000 €,Apartamento,1,1,34
"Campo de Ourique, Lisboa",Sob Consulta,Apartamento,2,1,59
"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim), Lisboa",1.300.000 €,Moradia,4,6,240
"Ramada e Caneças, Lisboa",249.000 €,Apartamento,2,1,75
"Alto de Algés, Oeiras",Sob Consulta,Apartamento,2,2,105
"Mercado, Lisboa",435.000 €,Apartamento,2,1,88
"Parque das Nações - Expo Norte, Lisboa",398.000 €,Apartamento,1,1,80
"Mealhada, Loures",1.150.000 €,Moradia Isolada,5,7,321
"Estrela, Lisboa",495.000 €,Apartamento,1,1,90
"Laranjeiras, Lisboa",335.000 €,Apartamento,3,1,71
"ERA Palmela Azeitao, Amadora",125.000 €,Apartamento,1,1,40
"Encosta do Sol, Lisboa",335.000 €,Apartamento,3,2,115
"Bairro Alto, Lisboa",Sob Consulta,Apartamento,2,1,32
"Paço de Arcos, Oeiras",198.500 €,Apartamento,0,1,27
"Lumiar, Lisboa",635.000 €,Apartamento,5,3,6
"CP BENFICA, Lisboa",342.000 €,Apartamento,2,1,69
"Paço de Arcos, Oeiras",498.500 €,Duplex,1,1,59
"Paço de Arcos, Oeiras",498.500 €,Duplex,1,1,59
"Vialonga, Vila Franca de Xira",135.000 €,Apartamento,2,1,76
"Parque das Nações - Expo Sul, Lisboa",590.000 €,Apartamento,2,1,127
"Ajuda, Lisboa",165.000 €,Apartamento,1,1,30
"Igreja da Memória, Lisboa",380.000 €,Apartamento,3,2,64
"Algés, Oeiras",410.000 €,Apartamento,2,2,85
"Agualva e Mira-Sintra, Lisboa",135.000 €,Apartamento,2,1,50
"Arroios, Lisboa",290.000 €,Apartamento,2,1,0
"Arroios, Lisboa",290.000 €,Apartamento,2,1,0
"Vialonga, Lisboa",175.000 €,Apartamento,3,2,90
"Califa, Lisboa",410.000 €,Apartamento,3,2,90
"Barcarena, Lisboa",180.000 €,Moradia Geminada,1,1,55
"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa",399.000 €,Apartamento,3,2,82
"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa",185.000 €,Apartamento,2,1,45
"Carcavelos e Parede, Lisboa",550.000 €,Apartamento,2,2,90
"Mina de Água, Lisboa",196.500 €,Apartamento,3,1,70
"Vale Flores, Sintra",254.000 €,Apartamento,3,2,110
"Benfica, Lisboa",549.000 €,Apartamento,2,2,125
"Cascais e Estoril, Lisboa",355.000 €,Apartamento,3,2,130
"Carnide, Lisboa",275.000 €,Apartamento,3,1,85
"Colares Velho, Cascais",350.000 €,Apartamento,2,1,60
"Ajuda, Lisboa",315.000 €,Apartamento,2,1,68
"Santa Clara, Lisboa",212.000 €,Apartamento,2,1,87
"Colares Velho, Sintra",350.000 €,Apartamento,2,2,70
"À Igreja, Lisboa",300.000 €,Apartamento,2,1,50
"Queijas, Oeiras",670.000 €,Duplex,4,3,160
"Reboleira, Amadora",119.000 €,Apartamento,1,1,39
"Santos, Lisboa, Lisboa",199.000 €,Apartamento,1,1,32
"Praia das Maçãs, Sintra",850.000 €,Andar Moradia,7,4,768
"Ajuda, Lisboa",240.000 €,Apartamento,1,1,60
"Ajuda, Lisboa",875.000 €,Apartamento,4,3,160
"Massamá 2ª Fase, Sintra",290.000 €,Apartamento,3,2,140
"Moscavide, Loures",239.000 €,Apartamento,2,1,66
"Lisboa, Lisboa",269.999 €,Apartamento,1,1,52
"Careca, Lisboa",1.850.000 €,Moradia Geminada,4,4,207
"Venteira, Amadora",190.000 €,Apartamento,2,1,78
"Queijas, Oeiras",389.900 €,Apartamento,2,1,94
"Moscavide, Loures",Sob Consulta,Apartamento,3,1,79
"Olivais Sul, Lisboa",245.000 €,Apartamento,3,1,73
"Cova da Piedade, Almada",213.000 €,Apartamento,3,2,85
"Alfragide, Lisboa",325.000 €,Apartamento,2,1,87
"Avenidas Novas, Lisboa",398.000 €,Apartamento,1,1,59
"Sacavém e Prior Velho, Lisboa",219.000 €,Apartamento,2,1,64
"Benfica, Lisboa",240.000 €,Apartamento,1,1,40
"Alcabideche, Lisboa",375.000 €,Apartamento,2,2,85
"Damaia, Amadora",248.000 €,Apartamento,3,2,80
"Alto de Sto Amaro, Lisboa",285.000 €,Apartamento,2,1,50
"Carnaxide e Queijas, Lisboa",250.000 €,Apartamento,2,1,78
"Agualva e Mira-Sintra, Lisboa",218.900 €,Apartamento,3,2,85
"Alto da Ajuda, Lisboa",450.000 €,Moradia Geminada,3,2,75
"Olivais Sul, Lisboa",200.000 €,Apartamento,2,2,53
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",309.500 €,Apartamento,3,2,95
"Almada, Almada",195.000 €,Apartamento,2,1,59
"Pedrouços, Lisboa",240.000 €,Moradia Geminada,0,1,37
"Bom Sucesso, Lisboa",725.000 €,Apartamento,3,2,83
"Rio de Mouro, Lisboa",215.000 €,Apartamento,2,1,66
"Pedrouços, Lisboa",318.000 €,Duplex,1,1,57
"Pedrouços, Lisboa",499.000 €,Duplex,2,1,75
"Ajuda, Lisboa",365.000 €,Apartamento,1,2,50
"Póvoa de Santa Iria e Forte da Casa, Lisboa",299.000 €,Apartamento,3,2,114
"Odivelas, Odivelas",249.000 €,Apartamento,2,1,85
"Chiado - Conde Barão, Lisboa",190.000 €,Apartamento,2,1,36
"Cascais e Estoril, Lisboa",285.000 €,Apartamento,2,1,62
"São Domingos de Benfica, Lisboa",450.000 €,Apartamento,3,2,131
"Misericórdia, Lisboa",269.000 €,Apartamento,1,1,58
"Janas, Sintra",1.390.000 €,Moradia Isolada,5,4,276
"Alcabideche, Lisboa",335.000 €,Apartamento,2,1,73
"São Sebastião de Guerreiros, Loures",165.000 €,Apartamento,2,2,90
"Lumiar, Lisboa",520.000 €,Apartamento,2,2,109
"Queluz e Belas, Lisboa",750.000 €,Duplex,4,3,230
"Olival Santíssimo, Sintra",Sob Consulta,Apartamento,2,2,98
"Parque das Nações - Expo Norte, Lisboa",Sob Consulta,Apartamento,3,2,145
"Odivelas, Odivelas",249.000 €,Apartamento,3,1,84
"São Sebastião de Guerreiros, Loures",165.000 €,Apartamento,2,2,70
"Serra das Minas, Sintra",149.900 €,Apartamento,2,1,70
"Rio de Mouro, Sintra",299.000 €,Apartamento,2,2,105
"Linda-a-Velha, Oeiras",285.000 €,Apartamento,3,2,93
"Alcabideche, Lisboa",495.000 €,Moradia Geminada,3,2,106
"Lisboa, Amadora",160.000 €,Apartamento,1,1,48
"Alto da Barra e Medrosa, Oeiras",2.200.000 €,Moradia,6,4,479
"Falagueira-Venda Nova, Lisboa",225.000 €,Apartamento,2,1,70
"Caparica e Trafaria, Setúbal",216.000 €,Apartamento,3,2,92
"Madredeus, Lisboa",209.900 €,Duplex,3,1,73
"Rio de Mouro, Lisboa",174.900 €,Apartamento,1,2,41
"Rio de Mouro, Lisboa",174.900 €,Apartamento,1,1,40
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",170.000 €,Apartamento,3,1,81
"Alcabideche, Cascais",845.000 €,Moradia Isolada,3,3,130
"Príncipe Real, Lisboa",1.600.000 €,Apartamento,4,3,168
"Agualva e Mira-Sintra, Lisboa",190.000 €,Apartamento,2,1,63
"Carcavelos e Parede, Lisboa",375.000 €,Apartamento,3,2,72
"Carcavelos e Parede, Lisboa",270.000 €,Apartamento,2,1,65
"Rio de Mouro, Sintra",Sob Consulta,Apartamento,3,2,100
"Águas Livres, Lisboa",135.000 €,Apartamento,2,1,70
"Buraca, Amadora",Sob Consulta,Apartamento,2,1,72
"Massamá e Monte Abraão, Lisboa",199.500 €,Apartamento,1,1,70
"Alfragide, Lisboa",258.000 €,Apartamento,2,1,65
"Cacém e São Marcos, Lisboa",159.000 €,Apartamento,2,1,70
"Arroios, Lisboa",450.000 €,Apartamento,3,2,81
"Chiado - São Bento, Lisboa",300.000 €,Apartamento,1,1,45
"São Domingos de Rana, Lisboa",775.000 €,Moradia em Banda,3,3,165
"Lisboa, Lisboa",370.000 €,Apartamento,1,1,73
"Graça, Lisboa",1.300.000 €,Apartamento,3,3,115
"São Vicente, Lisboa",310.000 €,Apartamento,1,1,48
"Graça, Lisboa",495.000 €,Apartamento,2,2,70
"São Vicente, Lisboa",690.000 €,Apartamento,2,3,111
"Águas Livres, Lisboa",189.000 €,Apartamento,3,1,80
"Olivais Sul, Lisboa",240.000 €,Apartamento,3,1,67
"Massamá 6ª Fase, Sintra",260.000 €,Apartamento,2,2,94
"Mem Martins, Sintra",235.000 €,Apartamento,3,2,112
"Sacavém e Prior Velho, Lisboa",179.000 €,Apartamento,3,1,75
"Marvila, Lisboa",295.000 €,Apartamento,3,2,95
"Loures, Loures",250.000 €,Apartamento,2,1,105
"Loures, Loures",270.000 €,Apartamento,2,2,108
"Loures, Loures",270.000 €,Apartamento,2,1,113
"Loures, Loures",250.000 €,Apartamento,2,1,105
"Loures, Loures",270.000 €,Apartamento,2,2,108
"Loures, Loures",265.000 €,Apartamento,2,1,113
"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa",245.500 €,Apartamento,1,1,49
"Barcarena, Lisboa",680.000 €,Moradia em Banda,4,4,116
"Parque das Nações - Expo Norte, Lisboa",699.000 €,Apartamento,3,2,145
"Quinta do Inquisidor, Loures",445.000 €,Apartamento,3,2,121
"Misericórdia, Lisboa",214.900 €,Apartamento,0,1,15
"Quinta do Inquisidor, Loures",435.000 €,Apartamento,3,2,136
"Fonte Nova, Lisboa",475.000 €,Apartamento,3,2,89
"Quinta do Inquisidor, Loures",385.000 €,Apartamento,2,2,111
"Cascais, Cascais",1.500.000 €,Apartamento,3,3,119
"Sacavém e Prior Velho, Lisboa",585.000 €,Apartamento,3,2,2
"Sacavém e Prior Velho, Lisboa",890.000 €,Duplex,5,6,4
"Loures, Loures",240.000 €,Apartamento,2,1,89
"Alcabideche, Lisboa",715.000 €,Moradia em Banda,4,4,202
"Algueirão-Mem Martins, Lisboa",435.000 €,Moradia Geminada,4,2,105
"Marvila, Lisboa",350.000 €,Apartamento,3,1,101
"São Domingos de Benfica, Lisboa",235.000 €,Apartamento,2,1,67
"São Domingos de Benfica, Lisboa",235.000 €,Apartamento,2,1,67
"São Domingos de Benfica, Lisboa",255.000 €,Apartamento,3,1,79
"Madredeus, Lisboa",630.000 €,Moradia,3,3,100
"Príncipe Real, Lisboa, Lisboa",580.000 €,Apartamento,1,1,53
"Príncipe Real, Lisboa, Lisboa",550.000 €,Apartamento,1,1,53
"São Francisco, Setúbal",155.000 €,Andar Moradia,2,1,88
"São Francisco, Setúbal",185.000 €,Andar Moradia,3,1,123
"Ramada, Odivelas",285.000 €,Apartamento,3,2,93
"Algés, Oeiras",410.000 €,Apartamento,4,3,130
"Benfica, Lisboa",275.000 €,Apartamento,2,1,68
"Pai do Vento, Cascais",570.000 €,Apartamento,2,2,110
"Abuxarda, Cascais",3.120.000 €,Moradia Isolada,4,4,380
"Sacavém e Prior Velho, Lisboa",164.500 €,Apartamento,2,1,60
"Buraca, Amadora",Sob Consulta,Apartamento,2,89,3
"Alcoitão, Cascais",590.000 €,Apartamento,2,2,100
"Santa Catarina, Lisboa, Lisboa",230.000 €,Apartamento,0,1,44
"Monte Abraão, Sintra",137.500 €,Apartamento,1,1,40
"Cascais e Estoril, Lisboa",405.000 €,Apartamento,3,2,74
"Ajuda, Lisboa",280.000 €,Apartamento,2,1,2
"Estrela, Lisboa",350.000 €,Apartamento,2,1,56
"Alcabideche, Lisboa",345.000 €,Moradia,3,1,67
"Ajuda, Lisboa",265.000 €,Apartamento,2,1,1
"Ajuda, Lisboa",205.000 €,Apartamento,2,1,1
"Ajuda, Lisboa",220.000 €,Apartamento,2,1,2
"Ajuda, Lisboa",310.000 €,Apartamento,2,3,
"Ajuda, Lisboa",280.000 €,Apartamento,2,1,3
"Ajuda, Lisboa",285.000 €,Apartamento,2,1,4
"Mina de Água, Lisboa",Sob Consulta,Apartamento,3,1,80
"Algueirão, Sintra",699.000 €,Moradia,8,4,220
"Venteira, Lisboa",222.000 €,Apartamento,3,1,88
"Aldeia de Juzo, Cascais",1.690.000 €,Moradia Isolada,7,5,412
"Laranjeiras Metro, Lisboa",399.900 €,Apartamento,1,3,61
"Laranjeiras Metro, Lisboa",429.900 €,Apartamento,2,3,72
"Laranjeiras Metro, Lisboa",349.900 €,Apartamento,1,2,44
"Estefânia/Saldanha, Lisboa",870.000 €,Apartamento,4,3,132
"Santo António, Lisboa",Desde321.000 €,Apartamentos,0-2,1-3,38-95
"Cascais e Estoril, Lisboa",1.200.000 €,Apartamento,2,3,2
"Urbanização Colinas do Cruzeiro, Odivelas",377.500 €,Apartamento,2,2,87
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",195.000 €,Apartamento,3,1,76
"Carcavelos e Parede, Lisboa",1.150.000 €,Moradia Geminada,3,3,127
"Avenidas Novas, Lisboa",2.050.000 €,Apartamento,3,4,278
"Olivais Sul, Lisboa",Sob Consulta,Moradia,5,6,287
"Estrela, Lisboa",Desde399.000 €,"Apartamentos, Lojas",1-3,1-3,48-130
"Igreja Nova, Mafra, Mafra",599.000 €,Moradia Isolada,4,3,205
"Campo de Ourique, Lisboa",281.900 €,Apartamento,2,2,53
"Areeiro, Lisboa",Sob Consulta,Apartamento,4,3,182
"Encosta do Sol, Lisboa",199.000 €,Apartamento,2,1,55
"Vila de Sintra, Sintra",265.000 €,Moradia Isolada,433,1,NAN
"Cascais e Estoril, Lisboa",750.000 €,Moradia Isolada,3,4,135
"Quinta dos Barros - Laranjeiras, Lisboa",435.000 €,Apartamento,2,1,86
"Arroios, Lisboa",415.000 €,Apartamento,1,1,80
"Barcarena, Lisboa",3.600.000 €,Moradia Isolada,6,6,300
"Santa Catarina, Lisboa, Lisboa",259.000 €,Apartamento,2,1,54
"Urb.Quinta Nova, Odivelas",292.000 €,Apartamento,2,1,67
"Loures, Loures",259.000 €,Apartamento,2,1,66
"Lisboa, Lisboa",345.000 €,Apartamento,1,1,54
"Sacavém, Loures",Sob Consulta,Apartamento,2,1,65
"Águas Livres, Lisboa",245.000 €,Apartamento,3,2,75
"Lapa, Lisboa, Lisboa",279.000 €,Apartamento,3,1,84
"Olivais Sul, Lisboa",319.000 €,Apartamento,4,1,100
"Pontinha e Famões, Lisboa",495.000 €,Moradia Geminada,3,2,118
"Alto dos Moinhos, Lisboa",240.000 €,Apartamento,2,1,58
"Agualva e Mira-Sintra, Lisboa",145.000 €,Apartamento,1,1,34
"Agualva, Sintra",135.000 €,Apartamento,1,1,43
"Casal do Cotão, Sintra",599.000 €,Moradia,6,3,176
"Queluz e Belas, Lisboa",219.500 €,Apartamento,2,2,109
"Pedrouços, Lisboa",220.000 €,Apartamento,2,1,44
"Parque das Nações - Expo Sul, Lisboa",675.000 €,Apartamento,3,2,158
"Avenidas Novas, Lisboa",599.000 €,Apartamento,3,2,101
"Algés, Oeiras",525.000 €,Apartamento,2,2,114
"Ao Tojal, Lisboa",295.000 €,Apartamento,2,1,63
"Moscavide, Loures",600.000 €,Apartamento,2,2,125
"Cacém, Sintra",149.500 €,Apartamento,1,1,57
"Pontinha e Famões, Lisboa",770.000 €,Moradia Isolada,3,5,120
"Odivelas, Odivelas",599.000 €,Apartamento,3,3,136
"Fitares, Sintra",250.000 €,Apartamento,3,2,112
"Arroios, Lisboa",200.000 €,Apartamento,1,1,40
"Carcavelos e Parede, Lisboa",900.000 €,Moradia em Banda,3,3,123
"Valejas, Oeiras",540.000 €,Moradia Geminada,3,3,234
"Alvalade, Lisboa",2.500.000 €,Moradia,7,4,401
"Pontinha e Famões, Lisboa",265.000 €,Andar Moradia,3,2,370
"Barcarena, Lisboa",219.000 €,Moradia Geminada,1,1,68
"Sacavém e Prior Velho, Lisboa",145.000 €,Apartamento,1,1,50
"Rinchoa, Sintra",145.000 €,Apartamento,2,2,74
"Odivelas, Lisboa",185.000 €,Apartamento,2,1,62
"Areeiro, Lisboa",999.000 €,Apartamento,7,5,4
"Serra de Carnaxide, Oeiras",1.300.000 €,Moradia,4,3,211
"Barcarena, Lisboa",Sob Consulta,Apartamento,2,1,80
"São Vicente, Lisboa",393.000 €,Apartamento,2,1,65
"Largo da Paz, Lisboa",550.000 €,Duplex,3,2,100
"Largo da Paz, Lisboa",385.000 €,Apartamento,2,2,55
"Carnaxide e Queijas, Lisboa",329.000 €,Apartamento,2,1,85
"Reboleira, Águas Livres, Amadora",235.000 €,Apartamento,2,1,80
"Idanha, Sintra",480.000 €,Moradia Geminada,2,302,NAN
"Idanha, Sintra",320.000 €,Moradia Geminada,2,2,308
"Parque das Nações - Expo Norte, Lisboa",690.000 €,Apartamento,3,3,120
"Pontinha e Famões, Lisboa",820.000 €,Moradia Geminada,4,4,319
"Ajuda, Lisboa",335.000 €,Apartamento,2,1,64
"Moscavide, Loures",259.000 €,Apartamento,3,1,74
"Lumiar, Lisboa",350.000 €,Apartamento,2,1,90
"Mercado, Lisboa",257.500 €,Apartamento,2,1,70
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa",450.000 €,Apartamento,2,2,93
"Venteira, Amadora",175.000 €,Apartamento,1,1,53
"Lumiar, Lisboa",530.000 €,Apartamento,2,2,117
"Bairro Alto, Lisboa, Lisboa",245.000 €,Apartamento,1,1,54
"Loures, Vila Franca de Xira",225.000 €,Apartamento,2,1,93
"Casal Gouveia, Sintra",267.000 €,Apartamento,3,2,80
"Murteira, Loures, Loures",435.000 €,Moradia em Banda,4,4,171
"Alcântara, Lisboa",1.650.000 €,Apartamento,6,3,219
"Quinta dos Inglesinhos, Lisboa",480.000 €,Apartamento,2,1,80
"Águas Livres, Amadora",185.000 €,Apartamento,2,1,69
"Grão Vasco, Lisboa",349.900 €,Apartamento,2,2,62
"Benfica, Lisboa",348.000 €,Apartamento,2,1,73
"Chiado - Conde Barão, Lisboa",190.000 €,Apartamento,1,1,33
"Odivelas, Lisboa",199.900 €,Apartamento,2,1,70
"Cabeço da Fonte, Sintra",290.000 €,Apartamento,3,2,98
"Olivais, Lisboa",230.000 €,Apartamento,3,1,64
"Loures/Infantado, Loures",450.000 €,Apartamento,3,2,130
"Alto Sto Amaro, Lisboa",295.000 €,Apartamento,2,1,58
"São Domingos de Rana, Lisboa",495.000 €,Moradia em Banda,3,3,100
"Odivelas, Lisboa",485.000 €,Apartamento,3,2,128
"Odivelas, Lisboa",495.000 €,Apartamento,2,2,132
"Odivelas, Lisboa",340.000 €,Apartamento,1,1,82
"Parque das Nações - Expo Norte, Lisboa",349.000 €,Apartamento,1,1,55
"Pontinha e Famões, Lisboa",700.000 €,Moradia Isolada,4,3,149
"Campo de Ourique, Lisboa",737.000 €,Apartamento,2,2,89
"Santa Maria Maior, Lisboa",149.000 €,Apartamento,1,1,25
"Charneca de Caparica e Sobreda, Setúbal",549.000 €,Moradia,4,3,114
"Queluz, Sintra",245.000 €,Apartamento,3,2,93
"Camarate, Unhos e Apelação, Lisboa",240.000 €,Moradia em Banda,3,1,93
"Olivais, Lisboa",Desde375.000 €,Apartamentos,1-4,1-4,57-263
"Estrela, Lisboa",909.000 €,Apartamento,2,2,109
"Estrela, Lisboa",792.000 €,Apartamento,2,2,104
"Estrela, Lisboa",1.010.000 €,Apartamento,3,2,129
"Estrela, Lisboa",1.245.000 €,Apartamento,4,3,141
"Monte Estoril, Cascais",595.000 €,Apartamento,1,1,56
"Pontinha e Famões, Lisboa",590.000 €,Moradia,4,3,284
"Olivais, Lisboa",595.000 €,Apartamento,5,2,146
"Pontinha e Famões, Lisboa",259.000 €,Duplex,1,2,70
"Brandoa, Amadora",247.500 €,Apartamento,2,1,57
"Brandoa, Amadora",252.000 €,Apartamento,2,1,61
"Benfica, Lisboa",305.000 €,Apartamento,2,1,69
"Alvalade, Lisboa",Sob Consulta,Apartamento,2,1,60
"Mem Martins, Sintra",Sob Consulta,Apartamento,3,2,92
"São Domingos de Rana, Lisboa",1.180.000 €,Moradia em Banda,4,4,143
"Brandoa, Amadora",247.500 €,Apartamento,1,1,49
"Ajuda, Lisboa",245.000 €,Apartamento,2,1,61
"Mina de Água, Lisboa",Sob Consulta,Apartamento,2,1,70
"Ajuda, Lisboa",355.000 €,Apartamento,1,1,58
